Title,Type,Priority,Epic,Story Points,Status,Labels,Body
"TASK 5.3.4: Implement Logo & Favicon Support",task,P2-Medium,epic:features,2,Todo,"feature","**Acceptance:**\n- [ ] Support business logo upload\n- [ ] Generate favicons\n- [ ] Apply to generated sites"
"TASK 6.1.1: Create WhatsApp Outreach Templates",task,P2-Medium,epic:outreach,5,Todo,"feature","**Acceptance:**\n- [ ] Design message templates\n- [ ] Support personalization variables\n- [ ] Create template library\n- [ ] A/B test templates"
"TASK 6.1.2: Build Outreach Console UI",task,P2-Medium,epic:outreach,5,Todo,"feature","**Acceptance:**\n- [ ] Create outreach dashboard\n- [ ] Lead selection interface\n- [ ] Template picker\n- [ ] Send tracking"
"TASK 6.1.3: Implement Demo URL Tracking",task,P2-Medium,epic:outreach,3,Todo,"feature","**Acceptance:**\n- [ ] Generate trackable URLs\n- [ ] Implement page view beacon\n- [ ] Store events in database\n- [ ] Create tracking dashboard"
"TASK 6.1.4: Set Up Outreach Analytics",task,P2-Medium,epic:outreach,3,Todo,"feature","**Acceptance:**\n- [ ] Track send rates\n- [ ] Track open rates\n- [ ] Track response rates\n- [ ] Create conversion funnel"
"TASK 6.2.1: Create Onboarding Form Page",task,P2-Medium,epic:outreach,5,Todo,"feature","**Acceptance:**\n- [ ] Design onboarding form\n- [ ] Implement form validation\n- [ ] Create secure token system\n- [ ] Mobile responsive"
"TASK 6.2.2: Implement Business Info Confirmation",task,P2-Medium,epic:outreach,3,Todo,"feature","**Acceptance:**\n- [ ] Display current business info\n- [ ] Allow editing of fields\n- [ ] Validate changes\n- [ ] Save to database"
"TASK 6.2.3: Implement Palette Selection in Onboarding",task,P2-Medium,epic:outreach,3,Todo,"feature","**Acceptance:**\n- [ ] Show palette options\n- [ ] Live preview\n- [ ] Save selection\n- [ ] Apply to site"
"TASK 6.2.4: Implement Text Change Requests",task,P2-Medium,epic:outreach,3,Todo,"feature","**Acceptance:**\n- [ ] Text editing interface\n- [ ] Change tracking\n- [ ] Approval workflow\n- [ ] Regeneration trigger"
"TASK 6.3.1: Define Lead Status State Machine",task,P2-Medium,epic:outreach,3,Todo,"feature","**Acceptance:**\n- [ ] Define all states\n- [ ] Define transitions\n- [ ] Define entry/exit criteria\n- [ ] Document state machine"
"TASK 6.3.2: Implement Status Transitions",task,P2-Medium,epic:outreach,5,Todo,"feature","**Acceptance:**\n- [ ] Create transition API\n- [ ] Validate transitions\n- [ ] Trigger side effects\n- [ ] Log all transitions"
"TASK 6.3.3: Build Activity Feed",task,P2-Medium,epic:outreach,3,Todo,"feature","**Acceptance:**\n- [ ] Design activity feed UI\n- [ ] Log all activities\n- [ ] Support filtering\n- [ ] Real-time updates"
"TASK 6.3.4: Create Notes System",task,P2-Medium,epic:outreach,3,Todo,"feature","**Acceptance:**\n- [ ] Create notes UI\n- [ ] Support rich text\n- [ ] Link notes to leads\n- [ ] Search notes"
"TASK 7.1.1: Set Up MercadoPago SDK",task,P3-Low,epic:payments,3,Todo,"feature","**Acceptance:**\n- [ ] Install SDK\n- [ ] Configure credentials\n- [ ] Test sandbox\n- [ ] Document setup"
"TASK 7.1.2: Create Checkout Flow",task,P3-Low,epic:payments,5,Todo,"feature","**Acceptance:**\n- [ ] Design checkout UI\n- [ ] Integrate MercadoPago checkout\n- [ ] Handle payment methods\n- [ ] Error handling"
"TASK 7.1.3: Implement Webhook Handler",task,P3-Low,epic:payments,3,Todo,"feature","**Acceptance:**\n- [ ] Create webhook endpoint\n- [ ] Verify signatures\n- [ ] Process payment events\n- [ ] Update subscription status"
"TASK 7.1.4: Add Payment Verification",task,P3-Low,epic:payments,3,Todo,"feature","**Acceptance:**\n- [ ] Verify payment status\n- [ ] Handle pending payments\n- [ ] Retry failed webhooks\n- [ ] Manual verification UI"
"TASK 7.2.1: Define Pricing Tiers in Database",task,P3-Low,epic:payments,3,Todo,"feature","**Acceptance:**\n- [ ] Create pricing table\n- [ ] Define FREE tier\n- [ ] Define BASIC ($29) tier\n- [ ] Define PRO ($59) tier\n- [ ] Define ENTERPRISE ($99) tier"
"TASK 7.2.2: Implement Feature Gating",task,P3-Low,epic:payments,3,Todo,"feature","**Acceptance:**\n- [ ] Check subscription tier\n- [ ] Gate premium features\n- [ ] Show upgrade prompts\n- [ ] Handle downgrades"
"TASK 7.2.3: Create Subscription Management UI",task,P3-Low,epic:payments,3,Todo,"feature","**Acceptance:**\n- [ ] View subscription details\n- [ ] Change plans\n- [ ] Cancel subscription\n- [ ] View billing history"
"TASK 7.2.4: Set Up Recurring Billing",task,P3-Low,epic:payments,3,Todo,"feature","**Acceptance:**\n- [ ] Configure recurring payments\n- [ ] Handle failed payments\n- [ ] Send renewal reminders\n- [ ] Retry logic"
