Title,Type,Priority,Epic,Story Points,Status,Labels,Body
"TASK 3.3.4: Create Business Type Addition Guide",task,P2-Medium,epic:docs,2,Todo,"docs","**Current:** ADDING_BUSINESS_TYPES.md exists\n\n**Acceptance:**\n- [ ] Update with latest patterns\n- [ ] Add troubleshooting section\n- [ ] Include validation steps"
"TASK 4.1.1: Implement Multi-Page Site Generation",task,P1-High,epic:platform,8,Todo,"feature","**Context:** Currently only generates homepage\n\n**Acceptance:**\n- [ ] Generate services page\n- [ ] Generate gallery page\n- [ ] Generate team page\n- [ ] Generate contact page\n- [ ] Generate blog index (if applicable)\n- [ ] Link pages in navigation"
"TASK 4.1.2: Implement On-Demand Site Generation API",task,P1-High,epic:platform,5,Todo,"feature","**Acceptance:**\n- [ ] Create `/api/generate` endpoint\n- [ ] Support async generation\n- [ ] Add generation queue\n- [ ] Implement progress tracking\n- [ ] Add webhook notifications"
"TASK 4.1.3: Implement Site Versioning",task,P1-High,epic:platform,5,Todo,"feature","**Context:** Table exists but unused\n\n**Acceptance:**\n- [ ] Store version on each generation\n- [ ] Support rollback to previous version\n- [ ] Add version comparison\n- [ ] Create version history UI"
"TASK 4.1.4: Implement Palette Selection UI",task,P1-High,epic:platform,3,Todo,"feature","**Context:** Backend ready, no UI\n\n**Acceptance:**\n- [ ] Create palette picker component\n- [ ] Show preview of each palette\n- [ ] Save palette preference\n- [ ] Apply palette to generated site"
"TASK 4.2.1: Implement Full CRUD for Businesses",task,P1-High,epic:platform,8,Todo,"feature","**Context:** Currently read-only\n\n**Acceptance:**\n- [ ] Create business form\n- [ ] Edit business data\n- [ ] Delete business with confirmation\n- [ ] Bulk operations\n- [ ] Import from CSV"
"TASK 4.2.2: Implement Site Generation Trigger",task,P1-High,epic:platform,5,Todo,"feature","**Acceptance:**\n- [ ] Add Generate Site button\n- [ ] Show generation progress\n- [ ] Display preview link\n- [ ] Show generation history"
"TASK 4.2.3: Implement Lead Management Dashboard",task,P1-High,epic:platform,5,Todo,"feature","**Acceptance:**\n- [ ] Filterable lead table\n- [ ] Lead detail view\n- [ ] Status management\n- [ ] Notes and activity log\n- [ ] Export functionality"
"TASK 4.2.4: Implement Business Analytics Dashboard",task,P2-Medium,epic:platform,3,Todo,"feature","**Acceptance:**\n- [ ] Site view analytics\n- [ ] Lead conversion metrics\n- [ ] Popular sections report\n- [ ] Export reports"
"TASK 4.3.1: Implement Lead Import Pipeline",task,P1-High,epic:platform,5,Todo,"feature","**Context:** Script exists, needs to be run\n\n**Acceptance:**\n- [ ] Run import for 3,960 Priority A leads\n- [ ] Validate imported data\n- [ ] Handle duplicates\n- [ ] Create import history log"
"TASK 4.3.2: Implement Lead Scoring v2",task,P1-High,epic:platform,5,Todo,"feature","**Acceptance:**\n- [ ] Incorporate social signals\n- [ ] Weight IG follower count\n- [ ] Add activity recency scoring\n- [ ] Recalibrate all scores\n- [ ] Update Priority A list"
"TASK 4.3.3: Implement Lead Status Pipeline",task,P1-High,epic:platform,3,Todo,"feature","**Acceptance:**\n- [ ] Define status states\n- [ ] Implement state transitions\n- [ ] Add status history tracking\n- [ ] Create status dashboard"
